"model","dgp","min_node_size","sample_fraction","mtry","coverage","rmse_norm","ci_length_norm"
"causal_forest","dgp40",5,0.5,22,1,0.0548396632687518,0.227799990555569
"causal_forest","dgp40",50,0.5,22,1,0.0566360733519651,0.231424977076797
"causal_forest","dgp40",5,0.5,11,1,0.0601671846893051,0.24180133014693
"causal_forest","dgp40",20,0.5,22,1,0.0607101975605971,0.234282353422264
"causal_forest","dgp40",10,0.5,11,1,0.0633046945589077,0.240830719679236
"causal_forest","dgp40",20,0.5,11,1,0.0638621615712719,0.240504333107243
"causal_forest","dgp40",10,0.5,22,1,0.0643094937703294,0.234302764670039
"causal_forest","dgp40",50,0.5,11,1,0.0643953332959346,0.243029106010457
"causal_forest","dgp40",50,0.5,8,1,0.0673817544279698,0.248380513321902
"causal_forest","dgp40",10,0.5,8,1,0.0679698833523372,0.251613818100146
"causal_forest","dgp40",10,0.3,22,1,0.0686546140703474,0.25202739697486
"causal_forest","dgp40",5,0.5,8,1,0.068822183874137,0.248162016193076
"causal_forest","dgp40",5,0.3,22,1,0.0693156353295978,0.252528549484196
"causal_forest","dgp40",20,0.5,8,1,0.0705221422500407,0.253561737798555
"causal_forest","dgp40",20,0.3,22,1,0.0706248839627701,0.251343330774729
"causal_forest","dgp40",50,0.3,22,1,0.0716716056286948,0.253351354521346
"causal_forest","dgp40",5,0.3,11,1,0.0737126657727565,0.261711190023951
"causal_forest","dgp40",10,0.3,11,1,0.0748258295403362,0.26073141835359
"causal_forest","dgp40",20,0.3,11,1,0.0755356741717187,0.261449104282375
"causal_forest","dgp40",20,0.3,8,1,0.0771427672005972,0.266020148134642
"causal_forest","dgp40",10,0.3,8,1,0.077290388157248,0.266835004813311
"causal_forest","dgp40",50,0.3,11,1,0.0781439119598199,0.263531610980516
"causal_forest","dgp40",5,0.3,8,1,0.0784438172454969,0.268155711655712
"causal_forest","dgp40",50,0.3,8,1,0.0797324072009333,0.268242864515511
"causal_forest","dgp63",50,0.3,10,0.8,0.121193580329898,0.366630326239858
"causal_forest","dgp63",20,0.3,10,0.8,0.121573652866553,0.367403014383876
"causal_forest","dgp63",10,0.3,10,0.8,0.125640251709815,0.366885869741272
"causal_forest","dgp63",5,0.3,10,0.8,0.126000910385722,0.368387086230076
"causal_forest","dgp63",10,0.3,15,0.8,0.126928973263615,0.382315307201675
"causal_forest","dgp63",10,0.5,10,0.75,0.127265748915885,0.383323885826735
"causal_forest","dgp63",50,0.5,10,0.8,0.127515113590217,0.383861838907717
"causal_forest","dgp63",5,0.3,15,0.8,0.128168277221885,0.383049315703203
"causal_forest","dgp63",20,0.3,15,0.8,0.129025088493536,0.383239045790191
"causal_forest","dgp63",50,0.3,15,0.75,0.129586641275023,0.38222538697403
"causal_forest","dgp63",20,0.5,10,0.8,0.130789296906208,0.383880580635506
"causal_forest","dgp63",5,0.5,10,0.8,0.131531359180232,0.384815997744753
"causal_forest","dgp63",20,0.3,26,0.85,0.133351969790676,0.404552773883009
"causal_forest","dgp63",10,0.5,15,0.8,0.133478411137149,0.404782012486755
"causal_forest","dgp63",10,0.3,26,0.9,0.133903439082836,0.405332586290313
"causal_forest","dgp63",20,0.5,15,0.85,0.134511921844317,0.402588376674858
"causal_forest","dgp63",5,0.5,15,0.8,0.135852822158769,0.404551007995771
"causal_forest","dgp63",50,0.3,26,0.85,0.136001291447895,0.40361003519332
"causal_forest","dgp63",50,0.5,15,0.8,0.136332838156696,0.406236731732371
"causal_forest","dgp63",5,0.3,26,0.85,0.136644985963496,0.404190599453954
"causal_forest","dgp63",10,0.5,26,0.9,0.13778691116025,0.430503715564148
"causal_forest","dgp63",20,0.5,26,0.9,0.138985623637923,0.430503295496209
"causal_forest","dgp63",50,0.5,26,0.85,0.140644739859022,0.430988258282476
"causal_forest","dgp63",5,0.5,26,0.8,0.144047879988386,0.430584498851641
