"dgp","model","k","n_trees","nu","q","min_node_size","sample_fraction","mtry","weights_method","rmse_rel","coverage","ci_rel"
"dgp40","AIPW",NA,NA,NA,NA,NA,NA,NA,"bart",0.0369394636499338,0.9,0.115219239548867
"dgp40","bart_ps-bart",1,75,3,0.9,NA,NA,NA,NA,0.0211154408343264,0.95,0.0833741024273264
"dgp40","bart_ps-bart",1,75,3,0.99,NA,NA,NA,NA,0.0220248263132452,0.95,0.0843104556162393
"dgp40","bart_ps-bart",1,75,10,0.75,NA,NA,NA,NA,0.0219525822794323,0.95,0.0849855908791153
"dgp40","bart_ps-bart",1,100,3,0.9,NA,NA,NA,NA,0.0221483486469887,0.95,0.0861265137443564
"dgp40","bart_ps-bart",1,100,3,0.99,NA,NA,NA,NA,0.0234293495071184,0.9,0.0838769498841487
"dgp40","bart_ps-bart",1,100,10,0.75,NA,NA,NA,NA,0.0223958903907748,0.95,0.0851120391891679
"dgp40","bart_ps-bart",1,200,3,0.9,NA,NA,NA,NA,0.022765017549987,0.95,0.0851884858974687
"dgp40","bart_ps-bart",1,200,3,0.99,NA,NA,NA,NA,0.0226716844859859,0.95,0.0851866357096608
"dgp40","bart_ps-bart",1,200,10,0.75,NA,NA,NA,NA,0.0223338318625621,0.9,0.0886416495828874
"dgp40","bart_ps-bart",2,75,3,0.9,NA,NA,NA,NA,0.020384705357465,0.95,0.0792871845577316
"dgp40","bart_ps-bart",2,75,3,0.99,NA,NA,NA,NA,0.0198059883108444,0.9,0.0812260591544757
"dgp40","bart_ps-bart",2,75,10,0.75,NA,NA,NA,NA,0.0211751280048175,0.95,0.0834261256636835
"dgp40","bart_ps-bart",2,100,3,0.9,NA,NA,NA,NA,0.0204761644450598,0.95,0.0800184778707148
"dgp40","bart_ps-bart",2,100,3,0.99,NA,NA,NA,NA,0.0216632052500302,0.95,0.077833117944489
"dgp40","bart_ps-bart",2,100,10,0.75,NA,NA,NA,NA,0.0208466248213661,0.95,0.0805011431396788
"dgp40","bart_ps-bart",2,200,3,0.9,NA,NA,NA,NA,0.0216622969614382,0.95,0.0794311555875946
"dgp40","bart_ps-bart",2,200,3,0.99,NA,NA,NA,NA,0.0209450724556011,0.95,0.0800386638188329
"dgp40","bart_ps-bart",2,200,10,0.75,NA,NA,NA,NA,0.0215456459013062,0.95,0.0816926618919622
"dgp40","bart_ps-bart",3,75,3,0.9,NA,NA,NA,NA,0.0203101553191242,0.95,0.0780265988360164
"dgp40","bart_ps-bart",3,75,3,0.99,NA,NA,NA,NA,0.0209037687481203,0.95,0.0777610790752112
"dgp40","bart_ps-bart",3,75,10,0.75,NA,NA,NA,NA,0.0203924542879896,0.95,0.0809662435139702
"dgp40","bart_ps-bart",3,100,3,0.9,NA,NA,NA,NA,0.0202765986573239,0.95,0.0772186882062249
"dgp40","bart_ps-bart",3,100,3,0.99,NA,NA,NA,NA,0.0198879426635901,0.95,0.0767398688114536
"dgp40","bart_ps-bart",3,100,10,0.75,NA,NA,NA,NA,0.0201051527246897,0.95,0.0802873986925007
"dgp40","bart_ps-bart",3,200,3,0.9,NA,NA,NA,NA,0.0206611260941143,0.95,0.0760059209254744
"dgp40","bart_ps-bart",3,200,3,0.99,NA,NA,NA,NA,0.0203017438475943,0.95,0.0765384528183997
"dgp40","bart_ps-bart",3,200,10,0.75,NA,NA,NA,NA,0.0202437834136627,0.95,0.0795232316919728
"dgp40","bart_ps-bart",5,75,3,0.9,NA,NA,NA,NA,0.0203578697841303,0.95,0.0780286112879763
"dgp40","bart_ps-bart",5,75,3,0.99,NA,NA,NA,NA,0.0199070831109171,0.95,0.0770209933929718
"dgp40","bart_ps-bart",5,75,10,0.75,NA,NA,NA,NA,0.0203871278865076,0.95,0.0804203456338625
"dgp40","bart_ps-bart",5,100,3,0.9,NA,NA,NA,NA,0.0197259881677995,0.95,0.0774409875897384
"dgp40","bart_ps-bart",5,100,3,0.99,NA,NA,NA,NA,0.0201448972938439,0.95,0.0759599763229867
